entry_id,reduced_formula,nelem,spacegroup_symbol,crystal_system,magnetic_ordering,magnetic_polarization_T,total_magnetic_moment_uB,mae_energy_da_meV_cell,mae_constant_da_MJ_m3,easy_axis,kappa,curie_temperature_K,formation_energy_meV_atom,above_hull_meV_atom,formula_key,formula_parse_status
MMD-1205,Fe2Si,2,P-3m1,trigonal,Ferromagnetic,0.73,4.07,,,ab plane,1.271,,-379.653294,3.994588,Fe2Si1,ok
MMD-1206,TiFe2,2,P6_3/mmc,hexagonal,Ferromagnetic,0.79,10.39,,,ab plane,0.79,,-294.207979,0.0,Fe2Ti1,ok
MMD-1207,Fe2N,2,P-31m,trigonal,Ferromagnetic,1.22,8.84,,,ab plane,1.116,,-28.275192,61.332475,Fe2N1,ok
MMD-1208,AlFe,2,Pm-3m,cubic,Ferromagnetic,0.35,0.72,-0.004,-0.025,<111>,0.514,,-330.243265,0.0,Al1Fe1,ok
MMD-1209,FeP4,2,P2_1/c,monoclinic,Ferromagnetic,0.0,0.0,,,,,,-377.799826,0.71177,Fe1P4,ok
MMD-1210,FeS,2,P-62c,hexagonal,Ferromagnetic,0.92,27.1,,,ab plane,1.508,,-218.773012,290.009299,Fe1S1,ok
MMD-1211,Fe3Se4,2,C2/m,monoclinic,Ferromagnetic,0.45,8.82,,,,,,-230.582423,75.102521,Fe3Se4,ok
MMD-1212,Fe12N5,2,P-31m,trigonal,Ferromagnetic,1.47,41.75,,,ab plane,0.945,,-51.991181,27.408962,Fe12N5,ok
MMD-1213,Fe5C2,2,C2/c,monoclinic,Ferromagnetic,1.52,33.7,,,a,0.799,,17.089644,17.089644,C2Fe5,ok
MMD-1214,TiFe,2,Pm-3m,cubic,Ferromagnetic,0.0,0.0,,,,,,-421.687447,0.0,Fe1Ti1,ok
MMD-1215,Y6Fe23,2,Fm-3m,cubic,Ferromagnetic,1.33,198.9,,,,,,-51.471425,11.76362,Fe23Y6,ok
MMD-1216,Sc29Fe6,2,Pm-3,cubic,Ferromagnetic,0.0,0.04,,,,,,-42.797343,29.838236,Fe6Sc29,ok
MMD-1217,AlFe2,2,Fd-3m,cubic,Ferromagnetic,1.08,27.88,0.007,0.004,a,0.064,,-110.352165,133.75804,Al1Fe2,ok
MMD-1218,Zr3Fe,2,Cmcm,orthorhombic,Ferromagnetic,0.0,0.09,,,,,,-132.596152,0.0,Fe1Zr3,ok
