material_id,formula,density,energy_above_hull,formation_energy_per_atom,magnetic_ordering,total_magnetization,magnetization_per_volume,magnetization_per_formula_unit,volume,nsites,crystal_system,space_group,is_stable,density_atomic,composition,elements,nelements,avg_atomic_weight,cell_mass,magnetic_performance_index,score_performance,score_stability,score_is_stable_bonus,score_simplicity,composite_score
mp-1194563,SrMn2V2O8,4.022972183564254,0.0,-2.5306868812201597,FM,40.0055355,0.056695636600629,10.001383875,705.6193015664298,52,Tetragonal,I4_1cd,True,13.569601953200571,"{'Sr': 4.0, 'Mn': 8.0, 'V': 8.0, 'O': 32.0}","['Mn', 'O', 'Sr', 'V']",4,0.2964694320024164,15.416410464125654,2.594996779120134,0.4259429611893934,1.0,1.0,0.6,0.7303771844757574
mp-1207977,VFe2BO5,4.49028479441799,0.0,-2.217364028796297,FM,40.000606,0.1066981931747513,10.0001515,374.894876940293,36,Orthorhombic,Pbam,True,10.413746581674804,"{'V': 4.0, 'Fe': 8.0, 'B': 4.0, 'O': 20.0}","['B', 'Fe', 'O', 'V']",4,0.4311882144625641,15.52277572065231,2.5768977610609363,0.42297218704093037,1.0,1.0,0.6,0.7291888748163722
mp-1204296,BaMn3(PO4)3,3.833671825912872,0.0,-2.7198997785642987,FM,28.0007664,0.0550588077728131,14.0003832,508.5610737438847,38,Orthorhombic,Imma,True,13.38318615115486,"{'Ba': 2.0, 'Mn': 6.0, 'P': 6.0, 'O': 24.0}","['Ba', 'Mn', 'O', 'P']",4,0.2864543452219752,10.885265118435058,2.572355022623977,0.42222654162151546,1.0,1.0,0.6,0.7288906166486062
mp-540583,SrCr2O4,4.7930113800156215,0.0,-2.667741410714283,FM,23.9999997,0.0677537139896385,5.999999925,354.2241197828693,28,Orthorhombic,Pmmn,True,12.650861420816762,"{'Sr': 4.0, 'Cr': 8.0, 'O': 16.0}","['Cr', 'O', 'Sr']",3,0.3788683806249595,10.608314657498866,2.2623763033871493,0.37134661196618945,1.0,1.0,0.8,0.7285386447864759
mp-19333,Fe2B2O5,3.961443603574118,0.0,-2.284821307037037,FM,16.0000003,0.0894715981632114,8.00000015,178.82770206935703,18,Triclinic,P-1,True,9.9348723371865,"{'Fe': 4.0, 'B': 4.0, 'O': 10.0}","['B', 'Fe', 'O']",3,0.3987412690494598,7.177342842890277,2.2292372888177217,0.3659071716901262,1.0,1.0,0.8,0.7263628686760506
mp-16887,Ba2CoO4,5.511526944371036,0.0,-2.328969620000002,FM,20.0,0.0417410215934346,5.0,479.1449570833152,28,Monoclinic,P2_1/c,True,17.112319895832687,"{'Ba': 8.0, 'Co': 4.0, 'O': 16.0}","['Ba', 'Co', 'O']",3,0.3220794712769039,9.01822519575331,2.217731268167712,0.3640185726187882,1.0,1.0,0.8,0.7256074290475154
mp-1214074,CaMnGeO4,3.950776716204881,0.0,-2.5686730111330047,FM,19.998661,0.0513493767558927,4.99966525,389.462584815209,28,Orthorhombic,Pnma,True,13.909378029114608,"{'Ca': 4.0, 'Mn': 4.0, 'Ge': 4.0, 'O': 16.0}","['Ca', 'Ge', 'Mn', 'O']",4,0.2840369071812742,7.953033401075678,2.5145953740487377,0.4127458686783537,1.0,1.0,0.6,0.7250983474713415
mp-541137,BaCr2O4,5.301521261021697,0.0,-2.6030357946428544,FM,23.9999982,0.0627410706150688,5.99999955,382.52452444182234,28,Orthorhombic,Pmmn,True,13.661590158636512,"{'Ba': 4.0, 'Cr': 8.0, 'O': 16.0}","['Ba', 'Cr', 'O']",3,0.3880603355437514,10.86568939522504,2.2087874341914167,0.3625505310555377,1.0,1.0,0.8,0.7250202124222151
mp-19231,Mn(SbO2)2,5.309108244954563,0.0,-1.8522391850615736,FM,19.9999996,0.0441049779872077,4.9999999,453.463543407749,28,Tetragonal,P4_2/mbc,True,16.19512655027675,"{'Mn': 4.0, 'Sb': 8.0, 'O': 16.0}","['Mn', 'O', 'Sb']",3,0.3278213497420209,9.178997792776585,2.178887069320248,0.3576426829779045,1.0,1.0,0.8,0.7230570731911619
mp-1211250,Mg(MnGe)6,7.049857740545257,0.0,-0.1657451232758623,FM,13.9113116,0.0747819702202545,13.9113116,186.02494102558617,13,Hexagonal,P6/mmm,True,14.309610848122013,"{'Mg': 1.0, 'Mn': 6.0, 'Ge': 6.0}","['Ge', 'Mg', 'Mn']",3,0.4926659302877183,6.404657093740338,2.172061891275393,0.3565223977542535,1.0,1.0,0.8,0.7226089591017015
mp-19507,BaMn2V2O8,4.356147800313418,0.0,-2.54981148872016,FM,40.0050322,0.0549940566355062,10.00125805,727.4428301434161,52,Tetragonal,I4_1/acd,True,13.989285195065694,"{'Ba': 4.0, 'Mn': 8.0, 'V': 8.0, 'O': 32.0}","['Ba', 'Mn', 'O', 'V']",4,0.3113917358586642,16.19237026465054,2.4706100185551425,0.40552610920941806,1.0,1.0,0.6,0.7222104436837673
mp-19264,Co3(PO4)2,3.874656414963242,0.0,-2.156004351868132,FM,18.0000003,0.0572618798195816,9.00000015,314.3452565077092,26,Monoclinic,P2_1/c,True,12.09020217337343,"{'Co': 6.0, 'P': 4.0, 'O': 16.0}","['Co', 'O', 'P']",3,0.3204790424014992,8.33245510243898,2.160227697444328,0.3545799323129661,1.0,1.0,0.8,0.7218319729251865
